,DayAheadForecast,LoadFactor,MonitoredCapacity,MostRecentForecast,WeekAheadForecast
2016-01-01 00:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 00:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 00:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 00:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 01:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 01:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 01:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 01:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 02:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 02:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 02:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 02:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 03:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 03:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 03:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 03:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 04:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 04:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 04:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 04:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 05:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 05:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 05:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 05:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 06:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 06:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 06:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 06:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 07:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 07:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 07:30:00,0.03,0.0,2952.78,0.0,
2016-01-01 07:45:00,3.5,0.03,2952.78,1.03,
2016-01-01 08:00:00,22.95,1.59,2952.78,47.25,
2016-01-01 08:15:00,57.02,3.19,2952.78,96.43,
2016-01-01 08:30:00,93.05,4.95,2952.78,148.01,
2016-01-01 08:45:00,119.13,6.6,2952.78,178.88,
2016-01-01 09:00:00,145.49,8.03,2952.78,210.79,
2016-01-01 09:15:00,185.59,10.07,2952.78,257.47,
2016-01-01 09:30:00,224.05,11.86,2952.78,298.76,
2016-01-01 09:45:00,258.64,14.06,2952.78,333.73,
2016-01-01 10:00:00,289.08,16.42,2952.78,364.36,
2016-01-01 10:15:00,312.24,18.85,2952.78,393.38,
2016-01-01 10:30:00,328.13,20.56,2952.78,417.35,
2016-01-01 10:45:00,337.37,19.91,2952.78,436.07,
2016-01-01 11:00:00,342.43,19.04,2952.78,450.68,
2016-01-01 11:15:00,340.92,18.84,2952.78,457.96,
2016-01-01 11:30:00,334.02,18.65,2952.78,458.56,
2016-01-01 11:45:00,324.12,18.21,2952.78,455.07,
2016-01-01 12:00:00,311.78,17.39,2952.78,447.14,
2016-01-01 12:15:00,295.65,15.86,2952.78,429.7,
2016-01-01 12:30:00,275.64,13.58,2952.78,403.45,
2016-01-01 12:45:00,252.83,11.68,2952.78,374.15,
2016-01-01 13:00:00,228.92,9.77,2952.78,342.86,
2016-01-01 13:15:00,204.77,8.11,2952.78,310.92,
2016-01-01 13:30:00,181.0,6.75,2952.78,278.21,
2016-01-01 13:45:00,156.34,5.57,2952.78,242.54,
2016-01-01 14:00:00,130.27,4.54,2952.78,203.57,
2016-01-01 14:15:00,103.43,3.6,2952.78,162.29,
2016-01-01 14:30:00,83.82,2.63,2952.78,132.01,
2016-01-01 14:45:00,64.29,1.67,2952.78,102.84,
2016-01-01 15:00:00,38.87,0.87,2952.78,63.23,
2016-01-01 15:15:00,17.0,0.29,2952.78,26.49,
2016-01-01 15:30:00,3.44,0.03,2952.78,4.47,
2016-01-01 15:45:00,0.01,0.0,2952.78,0.01,
2016-01-01 16:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 16:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 16:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 16:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 17:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 17:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 17:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 17:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 18:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 18:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 18:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 18:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 19:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 19:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 19:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 19:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 20:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 20:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 20:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 20:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 21:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 21:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 21:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 21:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 22:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 22:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 22:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 22:45:00,0.0,0.0,2952.78,0.0,
2016-01-01 23:00:00,0.0,0.0,2952.78,0.0,
2016-01-01 23:15:00,0.0,0.0,2952.78,0.0,
2016-01-01 23:30:00,0.0,0.0,2952.78,0.0,
2016-01-01 23:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 00:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 00:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 00:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 00:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 01:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 01:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 01:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 01:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 02:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 02:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 02:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 02:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 03:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 03:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 03:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 03:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 04:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 04:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 04:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 04:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 05:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 05:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 05:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 05:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 06:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 06:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 06:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 06:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 07:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 07:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 07:30:00,0.02,0.0,2952.78,0.0,
2016-01-02 07:45:00,2.72,0.0,2952.78,0.02,
2016-01-02 08:00:00,17.16,0.08,2952.78,2.43,
2016-01-02 08:15:00,42.18,0.38,2952.78,11.27,
2016-01-02 08:30:00,69.23,1.02,2952.78,23.9,
2016-01-02 08:45:00,91.73,2.24,2952.78,47.23,
2016-01-02 09:00:00,114.96,3.5,2952.78,70.66,
2016-01-02 09:15:00,143.83,4.99,2952.78,100.46,
2016-01-02 09:30:00,172.02,6.71,2952.78,130.58,
2016-01-02 09:45:00,198.92,8.85,2952.78,160.73,
2016-01-02 10:00:00,224.06,10.69,2952.78,189.35,
2016-01-02 10:15:00,246.8,13.27,2952.78,215.9,
2016-01-02 10:30:00,268.04,16.28,2952.78,243.15,
2016-01-02 10:45:00,287.86,17.16,2952.78,272.73,
2016-01-02 11:00:00,305.77,18.19,2952.78,301.59,
2016-01-02 11:15:00,319.46,19.48,2952.78,326.79,
2016-01-02 11:30:00,326.81,20.92,2952.78,347.16,
2016-01-02 11:45:00,334.47,21.11,2952.78,364.18,
2016-01-02 12:00:00,340.74,20.06,2952.78,378.03,
2016-01-02 12:15:00,336.77,17.57,2952.78,385.55,
2016-01-02 12:30:00,321.91,15.1,2952.78,386.43,
2016-01-02 12:45:00,300.39,12.05,2952.78,382.98,
2016-01-02 13:00:00,278.04,9.3,2952.78,376.29,
2016-01-02 13:15:00,255.05,7.11,2952.78,362.55,
2016-01-02 13:30:00,229.28,5.32,2952.78,335.76,
2016-01-02 13:45:00,199.34,4.13,2952.78,297.55,
2016-01-02 14:00:00,166.75,3.15,2952.78,254.34,
2016-01-02 14:15:00,132.62,2.33,2952.78,207.99,
2016-01-02 14:30:00,107.31,1.46,2952.78,165.73,
2016-01-02 14:45:00,83.51,0.83,2952.78,124.66,
2016-01-02 15:00:00,51.6,0.33,2952.78,77.18,
2016-01-02 15:15:00,22.23,0.07,2952.78,32.36,
2016-01-02 15:30:00,4.37,0.02,2952.78,6.1,
2016-01-02 15:45:00,0.03,0.02,2952.78,0.07,
2016-01-02 16:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 16:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 16:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 16:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 17:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 17:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 17:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 17:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 18:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 18:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 18:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 18:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 19:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 19:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 19:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 19:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 20:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 20:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 20:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 20:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 21:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 21:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 21:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 21:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 22:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 22:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 22:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 22:45:00,0.0,0.0,2952.78,0.0,
2016-01-02 23:00:00,0.0,0.0,2952.78,0.0,
2016-01-02 23:15:00,0.0,0.0,2952.78,0.0,
2016-01-02 23:30:00,0.0,0.0,2952.78,0.0,
2016-01-02 23:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 00:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 00:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 00:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 00:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 01:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 01:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 01:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 01:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 02:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 02:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 02:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 02:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 03:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 03:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 03:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 03:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 04:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 04:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 04:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 04:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 05:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 05:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 05:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 05:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 06:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 06:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 06:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 06:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 07:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 07:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 07:30:00,0.04,0.0,2952.78,0.0,
2016-01-03 07:45:00,3.81,0.01,2952.78,0.31,
2016-01-03 08:00:00,23.42,0.78,2952.78,23.38,
2016-01-03 08:15:00,57.01,1.41,2952.78,45.02,
2016-01-03 08:30:00,92.29,2.35,2952.78,75.27,
2016-01-03 08:45:00,113.99,3.53,2952.78,98.33,
2016-01-03 09:00:00,135.7,5.13,2952.78,121.81,
2016-01-03 09:15:00,170.86,7.06,2952.78,159.22,
2016-01-03 09:30:00,205.28,8.91,2952.78,193.6,
2016-01-03 09:45:00,238.69,10.88,2952.78,224.72,
2016-01-03 10:00:00,269.19,12.21,2952.78,253.85,
2016-01-03 10:15:00,293.96,14.0,2952.78,280.55,
2016-01-03 10:30:00,308.82,15.79,2952.78,294.77,
2016-01-03 10:45:00,316.88,16.89,2952.78,295.38,
2016-01-03 11:00:00,322.24,16.73,2952.78,293.55,
2016-01-03 11:15:00,321.5,15.95,2952.78,287.96,
2016-01-03 11:30:00,312.19,14.67,2952.78,277.01,
2016-01-03 11:45:00,298.59,13.15,2952.78,263.11,
2016-01-03 12:00:00,283.39,11.7,2952.78,247.37,
2016-01-03 12:15:00,263.95,10.42,2952.78,225.63,
2016-01-03 12:30:00,239.98,9.67,2952.78,199.6,
2016-01-03 12:45:00,213.62,9.52,2952.78,173.69,
2016-01-03 13:00:00,188.23,9.08,2952.78,148.33,
2016-01-03 13:15:00,163.53,7.8,2952.78,124.97,
2016-01-03 13:30:00,142.55,6.22,2952.78,106.08,
2016-01-03 13:45:00,124.12,4.78,2952.78,90.38,
2016-01-03 14:00:00,104.48,3.52,2952.78,74.29,
2016-01-03 14:15:00,83.35,2.51,2952.78,58.2,
2016-01-03 14:30:00,67.86,1.67,2952.78,45.83,
2016-01-03 14:45:00,51.83,0.96,2952.78,34.42,
2016-01-03 15:00:00,30.58,0.43,2952.78,21.73,
2016-01-03 15:15:00,13.57,0.11,2952.78,10.82,
2016-01-03 15:30:00,3.02,0.02,2952.78,2.61,
2016-01-03 15:45:00,0.04,0.05,2952.78,0.03,
2016-01-03 16:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 16:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 16:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 16:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 17:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 17:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 17:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 17:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 18:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 18:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 18:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 18:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 19:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 19:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 19:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 19:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 20:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 20:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 20:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 20:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 21:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 21:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 21:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 21:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 22:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 22:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 22:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 22:45:00,0.0,0.0,2952.78,0.0,
2016-01-03 23:00:00,0.0,0.0,2952.78,0.0,
2016-01-03 23:15:00,0.0,0.0,2952.78,0.0,
2016-01-03 23:30:00,0.0,0.0,2952.78,0.0,
2016-01-03 23:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 00:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 00:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 00:30:00,0.0,0.0,2952.78,0.0,
2016-01-04 00:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 01:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 01:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 01:30:00,0.0,0.0,2952.78,0.0,
2016-01-04 01:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 02:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 02:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 02:30:00,0.0,0.0,2952.78,0.0,
2016-01-04 02:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 03:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 03:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 03:30:00,0.0,0.0,2952.78,0.0,
2016-01-04 03:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 04:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 04:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 04:30:00,0.0,0.0,2952.78,0.0,
2016-01-04 04:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 05:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 05:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 05:30:00,0.0,0.0,2952.78,0.0,
2016-01-04 05:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 06:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 06:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 06:30:00,0.0,0.0,2952.78,0.0,
2016-01-04 06:45:00,0.0,0.0,2952.78,0.0,
2016-01-04 07:00:00,0.0,0.0,2952.78,0.0,
2016-01-04 07:15:00,0.0,0.0,2952.78,0.0,
2016-01-04 07:30:00,0.03,0.0,2952.78,0.0,
2016-01-04 07:45:00,2.4,0.01,2952.78,0.22,
2016-01-04 08:00:00,11.12,0.42,2952.78,12.25,
2016-01-04 08:15:00,26.23,0.97,2952.78,27.91,
2016-01-04 08:30:00,44.88,1.93,2952.78,40.42,
2016-01-04 08:45:00,60.26,2.92,2952.78,52.36,
2016-01-04 09:00:00,78.3,3.67,2952.78,66.0,
2016-01-04 09:15:00,103.43,4.08,2952.78,83.95,
2016-01-04 09:30:00,127.91,4.75,2952.78,100.4,
2016-01-04 09:45:00,150.67,5.44,2952.78,114.36,
2016-01-04 10:00:00,171.08,6.09,2952.78,126.91,
2016-01-04 10:15:00,189.66,6.85,2952.78,137.56,
2016-01-04 10:30:00,205.93,8.32,2952.78,147.1,
2016-01-04 10:45:00,220.19,8.97,2952.78,156.57,
2016-01-04 11:00:00,233.69,8.86,2952.78,165.18,
2016-01-04 11:15:00,245.61,8.98,2952.78,171.76,
2016-01-04 11:30:00,251.55,8.79,2952.78,176.75,
2016-01-04 11:45:00,252.3,8.74,2952.78,180.32,
2016-01-04 12:00:00,251.54,8.24,2952.78,182.35,
2016-01-04 12:15:00,248.26,8.01,2952.78,183.25,
2016-01-04 12:30:00,241.84,7.75,2952.78,182.91,
2016-01-04 12:45:00,233.16,7.18,2952.78,180.77,
2016-01-04 13:00:00,222.61,6.84,2952.78,175.99,
2016-01-04 13:15:00,207.1,6.71,2952.78,166.32,
2016-01-04 13:30:00,186.47,6.04,2952.78,150.44,
2016-01-04 13:45:00,163.84,5.25,2952.78,130.33,
2016-01-04 14:00:00,138.73,4.19,2952.78,108.42,
2016-01-04 14:15:00,111.05,3.59,2952.78,86.26,
